Country/Region,Province/State,Total Positive Cases
Afghanistan,,209451
Albania,,334457
Algeria,,271496
Andorra,,47890
Angola,,105288
Antarctica,,11
Antigua and Barbuda,,9106
Argentina,,10044957
Armenia,,447308
Australia,Australian Capital Territory,232974
Australia,New South Wales,3915992
Australia,Northern Territory,105111
Australia,Queensland,1800236
Australia,South Australia,883620
Australia,Tasmania,287507
Australia,Victoria,2880559
Australia,Western Australia,1293461
Austria,,5961143
Azerbaijan,,828825
Bahamas,,37491
Bahrain,,710693
Bangladesh,,2037871
Barbados,,106798
Belarus,,994037
Belgium,,4739365
Belize,,70757
Benin,,27999
Bhutan,,62627
Bolivia,,1194277
Bosnia and Herzegovina,,401729
Botswana,,329758
Brazil,,37076053
Brunei,,279661
Bulgaria,,1297523
Burkina Faso,,22056
Burma,,633950
Burundi,,53631
Cabo Verde,,63244
Cambodia,,138719
Cameroon,,124392
Canada,Alberta,629269
Canada,British Columbia,396817
Canada,Diamond Princess,0
Canada,Grand Princess,13
Canada,Manitoba,154712
Canada,New Brunswick,88866
Canada,Newfoundland and Labrador,54757
Canada,Northwest Territories,11511
Canada,Nova Scotia,140793
Canada,Nunavut,3531
Canada,Ontario,1601325
Canada,Prince Edward Island,56523
Canada,Quebec,1320325
Canada,Repatriated Travellers,13
Canada,Saskatchewan,153651
Canada,Yukon,4989
Central African Republic,,15368
Chad,,7679
Chile,,5192286
China,Anhui,2275
China,Beijing,40774
China,Chongqing,14715
China,Fujian,17122
China,Gansu,1742
China,Guangdong,103248
China,Guangxi,13371
China,Guizhou,2534
China,Hainan,10483
China,Hebei,3292
China,Heilongjiang,6603
China,Henan,9948
China,Hong Kong,2876106
China,Hubei,72131
China,Hunan,7437
China,Inner Mongolia,8847
China,Jiangsu,5075
China,Jiangxi,3423
China,Jilin,40764
China,Liaoning,3547
China,Macau,3514
China,Ningxia,1276
China,Qinghai,782
China,Shaanxi,7326
China,Shandong,5880
China,Shanghai,67040
China,Shanxi,7167
China,Sichuan,14567
China,Tianjin,4392
China,Tibet,1647
China,Unknown,1521816
China,Xinjiang,3089
China,Yunnan,9743
China,Zhejiang,11848
Colombia,,6359093
Comoros,,9008
Congo (Brazzaville),,25087
Congo (Kinshasa),,95749
Costa Rica,,1209725
Cote d'Ivoire,,88263
Croatia,,1269326
Cuba,,1112643
Cyprus,,650685
Czechia,,4618256
Denmark,Faroe Islands,34658
Denmark,Greenland,11971
Denmark,,3404407
Diamond Princess,,712
Djibouti,,15690
Dominica,,15760
Dominican Republic,,660790
Ecuador,,1057121
Egypt,,515759
El Salvador,,201785
Equatorial Guinea,,17229
Eritrea,,10189
Estonia,,615433
Eswatini,,74267
Ethiopia,,500116
Fiji,,68898
Finland,,1463644
France,French Guiana,98041
France,French Polynesia,78055
France,Guadeloupe,201886
France,Martinique,229020
France,Mayotte,42004
France,New Caledonia,80017
France,Reunion,494595
France,Saint Barthelemy,5441
France,Saint Pierre and Miquelon,3452
France,St Martin,12271
France,Wallis and Futuna,3427
France,,38618509
Gabon,,48981
Gambia,,12598
Georgia,,1827537
Germany,,38249060
Ghana,,171229
Greece,,5548487
Grenada,,19680
Guatemala,,1238247
Guinea,,38267
Guinea-Bissau,,8960
Guyana,,73075
Haiti,,34202
Holy See,,29
Honduras,,472250
Hungary,,2196804
Iceland,,209137
India,,44690738
Indonesia,,6738225
Iran,,7572311
Iraq,,2465545
Ireland,,1704502
Israel,,4803824
Italy,,25603510
Jamaica,,154416
Japan,,33320438
Jordan,,1746997
Kazakhstan,,1498668
Kenya,,342937
Kiribati,,5014
"Korea, North",,1
"Korea, South",,30615522
Kosovo,,273312
Kuwait,,663860
Kyrgyzstan,,206708
Laos,,218023
Latvia,,976255
Lebanon,,1232828
Lesotho,,34790
Liberia,,8090
Libya,,507187
Liechtenstein,,21432
Lithuania,,1307448
Luxembourg,,317367
MS Zaandam,,9
Madagascar,,67889
Malawi,,88707
Malaysia,,5044718
Maldives,,185738
Mali,,33062
Malta,,117610
Marshall Islands,,15649
Mauritania,,63668
Mauritius,,296042
Mexico,,7483444
Micronesia,,23948
Moldova,,611140
Monaco,,16121
Mongolia,,1007900
Montenegro,,288808
Morocco,,1272490
Mozambique,,233214
Namibia,,171156
Nauru,,5247
Nepal,,1001154
Netherlands,Aruba,44044
Netherlands,"Bonaire, Sint Eustatius and Saba",11804
Netherlands,Curacao,45986
Netherlands,Sint Maarten,11020
Netherlands,,8599981
New Zealand,Cook Islands,7031
New Zealand,Niue,792
New Zealand,,2228291
Nicaragua,,15655
Niger,,9508
Nigeria,,266598
North Macedonia,,346852
Norway,,1479506
Oman,,399449
Pakistan,,1577411
Palau,,5991
Panama,,1031731
Papua New Guinea,,46825
Paraguay,,808401
Peru,,4487553
Philippines,,4077452
Poland,,6444960
Portugal,,5570473
Qatar,,495090
Romania,,3346046
Russia,,22075858
Rwanda,,133194
Saint Kitts and Nevis,,6597
Saint Lucia,,30004
Saint Vincent and the Grenadines,,9589
Samoa,,16607
San Marino,,23616
Sao Tome and Principe,,6281
Saudi Arabia,,830127
Senegal,,88926
Serbia,,2500142
Seychelles,,50665
Sierra Leone,,7760
Singapore,,2235294
Slovakia,,2667551
Slovenia,,1331707
Solomon Islands,,24575
Somalia,,27324
South Africa,,4067067
South Sudan,,18368
Spain,,13770429
Sri Lanka,,672039
Sudan,,63829
Summer Olympics 2020,,865
Suriname,,82467
Sweden,,2699339
Switzerland,,4413911
Syria,,57467
Taiwan*,,9970937
Tajikistan,,17786
Tanzania,,42906
Thailand,,4728182
Timor-Leste,,23419
Togo,,39396
Tonga,,16810
Trinidad and Tobago,,189918
Tunisia,,1151126
Turkey,,17042722
Tuvalu,,2805
US,,103802702
Uganda,,170544
Ukraine,,5711929
United Arab Emirates,,1053213
United Kingdom,Anguilla,3904
United Kingdom,Bermuda,18828
United Kingdom,British Virgin Islands,7305
United Kingdom,Cayman Islands,31472
United Kingdom,Channel Islands,0
United Kingdom,Falkland Islands (Malvinas),1930
United Kingdom,Gibraltar,20433
United Kingdom,Guernsey,34991
United Kingdom,Isle of Man,38008
United Kingdom,Jersey,66391
United Kingdom,Montserrat,1403
United Kingdom,Pitcairn Islands,4
United Kingdom,"Saint Helena, Ascension and Tristan da Cunha",2166
United Kingdom,Turks and Caicos Islands,6561
United Kingdom,,24425309
Uruguay,,1034303
Uzbekistan,,251247
Vanuatu,,12014
Venezuela,,552162
Vietnam,,11526994
West Bank and Gaza,,703228
Winter Olympics 2022,,535
Yemen,,11945
Zambia,,343135
Zimbabwe,,264276
